date,value
01-Jan-51,-0.35
01-Feb-51,-0.44
01-Mar-51,-0.19
01-Apr-51,-0.1
01-May-51,-0.02
01-Jun-51,-0.05
01-Jul-51,0
01-Aug-51,0.05
01-Sep-51,0.07
01-Oct-51,0.06
01-Nov-51,-0.01
01-Dec-51,0.15
01-Jan-52,0.16
01-Feb-52,0.12
01-Mar-52,-0.1
01-Apr-52,0.02
01-May-52,-0.05
01-Jun-52,-0.04
01-Jul-52,0.05
01-Aug-52,0.07
01-Sep-52,0.08
01-Oct-52,-0.04
01-Nov-52,-0.17
01-Dec-52,-0.02
01-Jan-53,0.09
01-Feb-53,0.16
01-Mar-53,0.11
01-Apr-53,0.2
01-May-53,0.08
01-Jun-53,0.08
01-Jul-53,0.02
01-Aug-53,0.08
01-Sep-53,0.06
01-Oct-53,0.05
01-Nov-53,-0.05
01-Dec-53,0.03
01-Jan-54,-0.28
01-Feb-54,-0.1
01-Mar-54,-0.12
01-Apr-54,-0.18
01-May-54,-0.19
01-Jun-54,-0.15
01-Jul-54,-0.16
01-Aug-54,-0.13
01-Sep-54,-0.07
01-Oct-54,-0.01
01-Nov-54,0.08
01-Dec-54,-0.18
01-Jan-55,0.11
01-Feb-55,-0.21
01-Mar-55,-0.36
01-Apr-55,-0.23
01-May-55,-0.2
01-Jun-55,-0.08
01-Jul-55,-0.09
01-Aug-55,0.04
01-Sep-55,-0.13
01-Oct-55,-0.05
01-Nov-55,-0.28
01-Dec-55,-0.32
01-Jan-56,-0.16
01-Feb-56,-0.25
01-Mar-56,-0.23
01-Apr-56,-0.26
01-May-56,-0.28
01-Jun-56,-0.15
01-Jul-56,-0.11
01-Aug-56,-0.25
01-Sep-56,-0.21
01-Oct-56,-0.24
01-Nov-56,-0.17
01-Dec-56,-0.1
01-Jan-57,-0.14
01-Feb-57,-0.05
01-Mar-57,-0.05
01-Apr-57,-0.03
01-May-57,0.08
01-Jun-57,0.16
01-Jul-57,0.01
01-Aug-57,0.14
01-Sep-57,0.06
01-Oct-57,0.01
01-Nov-57,0.07
01-Dec-57,0.16
01-Jan-58,0.39
01-Feb-58,0.24
01-Mar-58,0.1
01-Apr-58,0.01
01-May-58,0.08
01-Jun-58,-0.05
01-Jul-58,0.06
01-Aug-58,-0.06
01-Sep-58,-0.03
01-Oct-58,0.04
01-Nov-58,0.02
01-Dec-58,0.01
